,name_product,price_product,link_product
0,Apple iPhone 14 Pro Max (128 GB) - Color plata,5.430.000,https://www.mercadolibre.com.co/apple-iphone-14-pro-max-128-gb-color-plata/p/MCO19615338?pdp_filters=category:MCO1055#searchVariation=MCO19615338&position=1&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
1,Apple iPhone 12 mini (64 GB) - Negro,2.490.000,https://www.mercadolibre.com.co/apple-iphone-12-mini-64-gb-negro/p/MCO16163664?pdp_filters=category:MCO1055#searchVariation=MCO16163664&position=2&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
2,Apple iPhone 12 (64 GB) - Azul,2.790.000,https://www.mercadolibre.com.co/apple-iphone-12-64-gb-azul/p/MCO16163649?pdp_filters=category:MCO1055#searchVariation=MCO16163649&position=3&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
3,Apple iPhone 13 (256 GB) - Azul medianoche,4.967.900,https://www.mercadolibre.com.co/apple-iphone-13-256-gb-azul-medianoche/p/MCO18500858?pdp_filters=category:MCO1055#searchVariation=MCO18500858&position=4&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
4,Apple iPhone 12 Pro (128 GB) - Oro,3.290.000,https://www.mercadolibre.com.co/apple-iphone-12-pro-128-gb-oro/p/MCO16163681?pdp_filters=category:MCO1055#searchVariation=MCO16163681&position=5&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
5,Apple iPhone 12 Pro (256 GB) - Grafito,4.399.999,https://www.mercadolibre.com.co/apple-iphone-12-pro-256-gb-grafito/p/MCO16163683?pdp_filters=category:MCO1055#searchVariation=MCO16163683&position=6&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
6,Apple iPhone 12 Pro Max (128 GB) - Azul pacífico,4.349.999,https://www.mercadolibre.com.co/apple-iphone-12-pro-max-128-gb-azul-pacifico/p/MCO16163695?pdp_filters=category:MCO1055#searchVariation=MCO16163695&position=7&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
7,Apple iPhone 11 (128 GB) - Negro,2.649.600,https://www.mercadolibre.com.co/apple-iphone-11-128-gb-negro/p/MCO15149567?pdp_filters=category:MCO1055#searchVariation=MCO15149567&position=8&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
8,iPhone 12 128 gb Negro,4.011.900,https://articulo.mercadolibre.com.co/MCO-612496737-iphone12-128gb-negro-_JM#position=13&search_layout=stack&type=item&tracking_id=4af55204-50ab-473b-89f0-578db5840405
9,Xiaomi Redmi Note 8 Dual SIM 64 GB space black 4 GB RAM,1.199.900,https://www.mercadolibre.com.co/xiaomi-redmi-note-8-dual-sim-64-gb-space-black-4-gb-ram/p/MCO15188552?pdp_filters=category:MCO1055#searchVariation=MCO15188552&position=9&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
10,iPhone 12 Pro Max 256gb + Obsequio,4.349.999,https://articulo.mercadolibre.com.co/MCO-1723750068-iphone-12-pro-max-256gb-obsequio-_JM#position=14&search_layout=stack&type=item&tracking_id=4af55204-50ab-473b-89f0-578db5840405
11,iPhone XS Max 64 GB oro,2.399.999,https://www.mercadolibre.com.co/iphone-xs-max-64-gb-oro/p/MCO12866628?pdp_filters=category:MCO1055#searchVariation=MCO12866628&position=10&search_layout=stack&type=product&tracking_id=4af55204-50ab-473b-89f0-578db5840405
